STR_UNIT_CD,DESCRIPTION,VOXEL_NR,SEQ_NR,RED_DEC,GREEN_DEC,BLUE_DEC
AAOP,"Antropogene afzettingen, opgebrachte grond",1000,1,200,200,200
AAES,"Antropogene afzettingen, esdekken",1005,2,110,110,110
NIGR,"Formatie van Nieuwkoop, Laagpakket van Griendtsveen",1010,3,132,88,44
NINB,"Formatie van Nieuwkoop, Laag van Nij Beets",1045,4,180,90,20
NASC,"Formatie van Naaldwijk, Laagpakket van Schoorl",1020,5,255,255,160
ONAWA,"Formatie van Naaldwijk, Laagpakket van Walcheren (gedeelte boven NAZA)",1030,6,152,220,117
NAZA,"Formatie van Naaldwijk, Laagpakket van Zandvoort",1040,7,254,183,56
NAWA,"Formatie van Naaldwijk, Laagpakket van Walcheren, gelegen onder Formatie van Naaldwijk, Laagpakket van Zandvoort",1050,13,152,220,117
BHEC,Formatie van Echteld (gedeelte buiten NIHO),1060,,170,255,245
OEC,Formatie van Echteld (gedeelte boven NIHO),1070,14,170,255,245
NAWOBE,"Formatie van Naaldwijk, Laagpakket van Wormer, Laag van Bergen",1080,15,0,157,155
NIHO,"Formatie van Nieuwkoop, Hollandveen Laagpakket",1090,16,208,130,40
NAWO,"Formatie van Naaldwijk, Laagpakket van Wormer",1100,22,63,165,76
NWNZ,"Formatie van Naaldwijk, laagpakketten van Wormer en Zandvoort",1110,,63,165,76
NAWOVE,"Formatie van Naaldwijk, Laagpakket van Wormer, Laag van Velsen",1120,24,189,183,107
NIBA,"Formatie van Nieuwkoop, Basisveen Laag",1130,25,152,47,10
NA,Formatie van Naaldwijk,2000,12,105,200,100
EC,Formatie van Echteld,2010,23,170,255,245
NI,Formatie van Nieuwkoop,2020,,208,130,40
KK,Kreekrak Formatie,2030,,68,138,112
BXKO,"Formatie van Boxtel, Laagpakket van Kootwijk",3000,28,255,255,190
BXSI,"Formatie van Boxtel, Laagpakket van Singraven",3010,,190,190,0
BXSI1,Formatie van Boxtel Laagpakket van Singraven (bovenste deel),3011,29,190,190,0
BXWI,"Formatie van Boxtel, Laagpakket van Wierden",3020,30,255,255,80
BXSI2,Formatie van Boxtel Laagpakket van Singraven (onderste deel),3012,31,255,255,130
BXWIKO,"Formatie van Boxtel, laagpakketten van Wierden en Kootwijk",3025,32,255,255,80
BXWISIKO,"Formatie van Boxtel, laagpakketten van Wierden, Singraven en Kootwijk",3030,33,255,255,80
BXDE,"Formatie van Boxtel, Laagpakket van Delwijnen",3040,34,225,225,130
BXDEKO,"Formatie van Boxtel, laagpakketten van Delwijnen en Kootwijk",3045,35,225,225,130
BXSC,"Formatie van Boxtel, Laagpakket van Schimmert",3050,36,255,205,0
BXLM,"Formatie van Boxtel, Laagpakket van Liempde",3060,37,190,190,190
BXBS,"Formatie van Boxtel, Laagpakket van Best",3090,40,235,205,0
BX,Formatie van Boxtel,3100,41,255,235,0
KRWY,"Formatie van Kreftenheye, Laag van Wijchen",4000,42,86,0,0
KRBXDE,"Formatie van Kreftenheye en Formatie van Boxtel, Laagpakket van Delwijnen",4010,43,176,48,96
KRZU,"Formatie van Kreftenheye, Laagpakket van Zutphen",4020,44,136,0,0
KROE,"Formatie van Kreftenheye, gelegen onder de Eem Formatie",4030,45,176,48,96
KRTW,"Formatie van Kreftenheye, Laagpakket van Twello",4040,46,156,18,46
KR,Formatie van Kreftenheye,4050,47,176,48,96
BEOM,"Formatie van Beegden, Laagpakket van Oost-Maarland",4055,26,129,105,123
BEWY,"Formatie van Beegden, Laag van Wijchen",4060,48,170,155,180
BERO,"Formatie van Beegden, Laag van Rosmalen",4070,49,180,170,205
BE,Formatie van Beegden,4080,50,200,200,255
KW,Formatie van Koewacht,4090,51,172,169,43
WB,Formatie van Woudenberg,4100,52,137,67,30
EE,Eem Formatie,4110,53,190,255,115
EEWB,Formatie van Woudenberg en Eem Formatie,4120,54,190,255,115
DR,Formatie van Drente,5000,55,255,127,80
DRGI,"Formatie van Drente, Laagpakket van Gieten",5010,56,235,97,30
GE,Door landijs gestuwde afzettingen,5020,57,156,156,156
DN,Formatie van Drachten,5030,58,250,250,210
URTY,"Formatie van Urk, Laagpakket van Tijnje",5040,59,169,163,87
PE,Formatie van Peelo,5050,60,238,130,238
UR,Formatie van Urk,5060,61,189,183,107
ST,Formatie van Sterksel,5070,62,205,92,92
AP,Formatie van Appelscha,5080,63,218,165,32
SY,Formatie van Stramproy,5090,64,255,228,181
PZ,Formatie van Peize,5100,65,255,255,0
WA,Formatie van Waalre,5110,66,255,165,0
PZWA,Formatie van Peize en Formatie van Waalre,5120,67,255,204,0
MS,Formatie van Maassluis,5130,68,135,206,235
