HYD_UNIT_CD,DESCRIPTION,SEQ_NR,RED_DEC,GREEN_DEC,BLUE_DEC
MV,Maaiveld,1010,255,255,200
AA,Antropogene afzettingen,1510,200,200,200
HLc,"Holocene afzettingen, complexe eenheid",1112,12,129,12
BXz,"Formatie van Boxtel, zandige eenheid",1210,255,235,0
BXz1,"Formatie van Boxtel, eerste zandige eenheid",1211,255,235,0
BXSCk1,"Formatie van Boxtel, Laagpakket van Schimmert, eerste kleiige eenheid",1212,215,175,0
BXz2,"Formatie van Boxtel, tweede zandige eenheid",1213,255,235,0
BXLMk1,"Formatie van Boxtel, Laagpakket van Liempde, eerste kleiige eenheid",1222,225,190,0
BXk1,"Formatie van Boxtel, eerste kleiige eenheid",1232,225,190,0
BXz3,"Formatie van Boxtel, derde zandige eenheid",1233,255,235,0
BXk2,"Formatie van Boxtel, tweede kleiige eenheid",1242,235,205,0
BXz4,"Formatie van Boxtel, vierde zandige eenheid",1243,255,235,0
KRz,"Formatie van Kreftenheye, zandige eenheid",1310,176,48,96
KRz1,"Formatie van Kreftenheye, eerste zandige eenheid",1311,176,48,96
KRWYk1,"Formatie van Kreftenheye, Laag van Wijchen, eerste kleiige eenheid",1312,86,0,0
KRz2,"Formatie van Kreftenheye, tweede zandige eenheid",1313,176,48,96
KRk1,"Formatie van Kreftenheye, eerste kleiige eenheid",1322,111,0,0
KRz3,"Formatie van Kreftenheye, derde zandige eenheid",1323,176,48,96
BEz,"Formatie van Beegden, zandige eenheid",1410,200,200,255
BEz1,"Formatie van Beegden, eerste zandige eenheid",1411,200,200,255
BEROk1,"Formatie van Beegden, Laag van Rosmalen, eerste kleiige eenheid",1412,160,140,155
BEk1,"Formatie van Beegden, eerste kleiige eenheid",1422,170,155,180
BEz2,"Formatie van Beegden, tweede zandige eenheid",1423,200,200,255
BEk2,"Formatie van Beegden, tweede kleiige eenheid",1432,180,170,205
BEz3,"Formatie van Beegden, derde zandige eenheid",1433,200,200,255
KWz,"Formatie van Koewacht, zandige eenheid",1510,172,169,43
KWz1,"Formatie van Koewacht, eerste zandige eenheid",1511,172,169,43
WBv1,"Formatie van Woudenberg, eerste venige eenheid",1612,117,37,0
EEz,"Eem Formatie, zandige eenheid",1710,190,255,115
EEz1,"Eem Formatie, eerste zandige eenheid",1711,190,255,115
EEk1,"Eem Formatie, eerste kleiige eenheid",1712,180,210,40
EEz2,"Eem Formatie, tweede zandige eenheid",1713,190,255,115
EEk2,"Eem Formatie, tweede kleiige eenheid",1722,190,225,65
EEz3,"Eem Formatie, derde zandige eenheid",1723,190,255,115
KRZUk1,"Formatie van Kreftenheye, Laagpakket van Zutphen, eerste kleiige eenheid",1832,136,0,0
KRz4,"Formatie van Kreftenheye, vierde zandige eenheid",1833,176,48,96
KRTWk1,"Formatie van Kreftenheye, Laagpakket van Twello, eerste kleiige eenheid",1842,156,18,46
